iter	Passed	Remaining
1349	14591	1621
1350	14602	1610
1351	14612	1599
1352	14625	1589
1353	14635	1578
1354	14645	1567
1355	14655	1556
1356	14665	1545
1357	14675	1534
1358	14685	1523
1359	14695	1512
1360	14704	1501
1361	14715	1490
1362	14727	1480
1363	14738	1469
1364	14747	1458
1365	14757	1447
1366	14769	1436
1367	14780	1426
1368	14789	1415
1369	14800	1404
1370	14811	1393
1371	14821	1382
1372	14835	1372
1373	14846	1361
1374	14856	1350
1375	14866	1339
1376	14876	1328
1377	14887	1318
1378	14897	1307
1379	14907	1296
1380	14917	1285
1381	14928	1274
1382	14941	1264
1383	14951	1253
1384	14961	1242
1385	14971	1231
1386	14982	1220
1387	14992	1209
1388	15002	1198
1389	15012	1188
1390	15021	1177
1391	15032	1166
1392	15046	1155
1393	15057	1144
1394	15067	1134
1395	15079	1123
1396	15089	1112
1397	15100	1101
1398	15110	1090
1399	15120	1080
1400	15130	1069
1401	15140	1058
1402	15153	1047
1403	15163	1036
1404	15174	1026
1405	15184	1015
1406	15194	1004
1407	15204	993
1408	15214	982
1409	15225	971
1410	15236	961
1411	15246	950
1412	15260	939
1413	15270	928
1414	15279	917
1415	15289	907
1416	15299	896
1417	15310	885
1418	15321	874
1419	15331	863
1420	15342	852
1421	15352	842
1422	15366	831
1423	15378	820
1424	15388	809
1425	15399	799
1426	15408	788
1427	15418	777
1428	15427	766
1429	15438	755
1430	15447	744
1431	15458	734
1432	15471	723
1433	15482	712
1434	15493	701
1435	15503	690
1436	15515	680
1437	15525	669
1438	15536	658
1439	15545	647
1440	15555	636
1441	15565	626
1442	15578	615
1443	15589	604
1444	15599	593
1445	15609	582
1446	15619	572
1447	15629	561
1448	15639	550
1449	15650	539
1450	15661	528
1451	15671	518
1452	15685	507
1453	15695	496
1454	15705	485
1455	15716	474
1456	15726	464
1457	15736	453
1458	15746	442
1459	15756	431
1460	15766	420
1461	15777	410
1462	15790	399
1463	15800	388
1464	15810	377
1465	15821	366
1466	15832	356
1467	15842	345
1468	15852	334
1469	15863	323
1470	15873	312
1471	15882	302
1472	15895	291
1473	15906	280
1474	15916	269
1475	15926	258
1476	15937	248
1477	15946	237
1478	15956	226
1479	15966	215
1480	15977	204
1481	15988	194
1482	16001	183
1483	16011	172
1484	16020	161
1485	16030	151
1486	16039	140
1487	16049	129
1488	16059	118
1489	16070	107
1490	16081	97
1491	16092	86
1492	16103	75
1493	16117	64
1494	16127	53
1495	16139	43
1496	16150	32
1497	16161	21
1498	16172	10
1499	16182	0
